5
1.249859
-0.020862, 0.350607, 0.023839, 0.000000, 0.081555, -0.087019, 0.028138, -0.002886, 
-0.015237, 0.283087, 0.004338, 0.000000, -0.061273, 0.057030, -0.020150, 0.002538, 
-0.025386, -0.041648, 0.004678, 0.000000, 0.079597, -0.073575, 0.024500, -0.002863, 
1.249859
0.481711, 0.423290, -0.065637, 0.000000, 0.159177, -0.149674, 0.024458, 0.007462, 
0.305059, 0.210246, -0.031457, 0.000000, 0.413343, -0.629914, 0.391634, -0.089662, 
-0.020541, 0.065913, 0.027626, 0.000000, -0.166795, 0.199283, -0.107680, 0.022671, 
1.249859
0.942911, 0.342433, -0.124565, -0.029809, -0.224056, 0.578520, -0.490866, 0.142503, 
0.637666, 0.425080, 0.154588, -0.025733, -0.166777, 0.198031, -0.134802, 0.039441, 
0.010452, -0.080684, -0.133583, -0.014612, 0.117732, -0.043706, -0.028285, 0.016449, 
1.249859
1.142378, 0.015041, -0.037949, 0.470421, -1.136587, 1.191718, -0.552040, 0.088973, 
1.200277, 0.402712, -0.106189, 0.176071, -0.558943, 0.649640, -0.314631, 0.050951, 
-0.188899, -0.185108, 0.044934, 0.112173, -0.230274, 0.252241, -0.127059, 0.023183, 
1.249859
1.195483, 0.077871, -0.057599, -0.386329, 1.304026, -1.638798, 0.927391, -0.198019, 
1.531079, 0.158690, -0.173512, -0.285814, 1.375395, -1.888999, 1.120245, -0.246597, 
-0.299114, 0.013946, 0.082950, -0.062462, 0.018690, -0.103002, 0.117281, -0.036144, 
